model,score_val,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,description
WeightedEnsemble_L3,-36.361050242497605,0.0017018318176269531,331.3163573741913,0.0009334087371826172,0.2337806224822998,3,True,9,hpo scores
LightGBM_BAG_L2/T1,-36.45307681065257,0.0005512237548828125,213.9849088191986,9.465217590332031e-05,31.565502166748047,2,True,6,hpo scores
LightGBM_BAG_L2/T2,-36.49506683889113,0.0005879402160644531,214.83908033370972,0.00013136863708496094,32.419673681259155,2,True,7,hpo scores
WeightedEnsemble_L4,-36.66395318572601,0.0020694732666015625,475.2667362689972,0.0009205341339111328,0.22852873802185059,4,True,13,hpo scores
CatBoost_BAG_L3/T1,-36.686524245722254,0.0008928775787353516,412.62792801856995,0.00012445449829101562,81.54535126686096,3,True,12,hpo scores
WeightedEnsemble_L2,-36.75399003349142,0.0009541511535644531,122.25510215759277,0.0007467269897460938,0.29285240173339844,2,True,5,hpo scores
LightGBM_BAG_L1/T3,-36.76354412409187,9.751319885253906e-05,32.556703329086304,9.751319885253906e-05,32.556703329086304,1,True,3,hpo scores
LightGBM_BAG_L3/T2,-36.99967884689942,0.0008990764617919922,361.9814016819,0.00013065338134765625,30.89882493019104,3,True,11,hpo scores
LightGBM_BAG_L3/T1,-37.10233449608509,0.0008938312530517578,362.59403133392334,0.00012540817260742188,31.511454582214355,3,True,10,hpo scores
WeightedEnsemble_L5,-37.10794399329098,0.0021975040435791016,567.5240433216095,0.0008234977722167969,0.179884672164917,5,True,16,hpo scores
CatBoost_BAG_L2/T1,-37.12127084525256,0.0005424022674560547,267.0974009037018,8.58306884765625e-05,84.67799425125122,2,True,8,hpo scores
CatBoost_BAG_L4/T1,-37.13901210163851,0.0012810230255126953,536.6620318889618,0.00013208389282226562,61.62382435798645,4,True,15,hpo scores
LightGBM_BAG_L4/T1,-37.44166702766272,0.001241922378540039,505.72033429145813,9.298324584960938e-05,30.682126760482788,4,True,14,hpo scores
LightGBM_BAG_L1/T1,-39.666828152831606,0.0001537799835205078,30.36881136894226,0.0001537799835205078,30.36881136894226,1,True,1,hpo scores
LightGBM_BAG_L1/T2,-41.578265197796064,9.5367431640625e-05,30.088345527648926,9.5367431640625e-05,30.088345527648926,1,True,2,hpo scores
CatBoost_BAG_L1/T1,-43.29344521141029,0.00010991096496582031,89.40554642677307,0.00010991096496582031,89.40554642677307,1,True,4,hpo scores
